Player id,Player,Goals,Position,Club,League,Age,Country,Domestic,
200130,Ezequiel GARAY,0,Defender,SL Benfica,Portugal,27,Argentina,FALSE,
229392,Ezequiel LAVEZZI,0,Forward,Paris Saint-Germain FC,France,29,Argentina,FALSE,
311174,Fabian JOHNSON,0,Defender,TSG 1899 Hoffenheim,Germany,26,USA,FALSE,
281252,Fabian ORELLANA,0,Forward,Celta Vigo,Spain,28,Chile,FALSE,
356411,Fabian SCHAER,0,Defender,FC Basel,Switzerland,22,Switzerland,TRUE,
269784,FABIO COENTRAO,0,Defender,Real Madrid CF,Spain,26,Portugal,FALSE,
367396,Fabrice OLINGA,0,Forward,SV Zulte Waregem,Belgium,18,Cameroon,FALSE,
364088,Faouzi GHOULAM,0,Defender,SSC Napoli,Italy,23,Algeria,FALSE,
94918,Faryd MONDRAGON,0,Goalkeeper,Deportivo Cali,Colombia,43,Colombia,TRUE,
376071,Fatawu DAUDA,0,Goalkeeper,Orlando Pirates,South Africa,29,Ghana,FALSE,
318034,Federico FERNANDEZ,0,Defender,SSC Napoli,Italy,25,Argentina,FALSE,
228715,Felipe CAICEDO,0,Forward,Al Jazira SCC,United Arab Emirates,25,Ecuador,FALSE,
349588,Felipe GUTIERREZ,0,Midfielder,FC Twente,Netherlands,23,Chile,FALSE,
201001,Fernando GAGO,0,Midfielder,CA Boca Juniors,Argentina,28,Argentina,TRUE,
229498,Fernando MUSLERA,0,Goalkeeper,Galatasaray SK,Turkey,28,Uruguay,FALSE,
375459,Fidel MARTINEZ,0,Midfielder,Club Tijuana,Mexico,24,Ecuador,FALSE,
209960,Francisco RODRIGUEZ,0,Defender,Club America,Mexico,32,Mexico,TRUE,
349582,Francisco SILVA,0,Midfielder,CA Osasuna,Spain,28,Chile,FALSE,
185385,Frank LAMPARD,0,Midfielder,Chelsea FC,England,36,England,TRUE,
362881,Fraser FORSTER,0,Goalkeeper,Celtic FC,Scotland,26,England,FALSE,
200219,Fredy GUARIN,0,Midfielder,FC Internazionale,Italy,27,Colombia,FALSE,
349578,Frickson ERAZO,0,Defender,CR Flamengo,Brazil,26,Ecuador,FALSE,
229450,Gabriel ACHILIER,0,Defender,CS Emelec,Ecuador,29,Ecuador,TRUE,
233333,Gabriel PALETTA,0,Defender,Parma FC,Italy,28,Italy,TRUE,
305764,Gary CAHILL,0,Defender,Chelsea FC,England,28,England,TRUE,
267527,Gary MEDEL,0,Defender,Cardiff City FC,England,26,Chile,FALSE,
312116,Gaston RAMIREZ,0,Midfielder,Southampton FC,England,23,Uruguay,FALSE,
216650,Gelson FERNANDES,0,Midfielder,SC Freiburg,Germany,27,Switzerland,FALSE,
321971,Geoff CAMERON,0,Defender,Stoke City FC,England,28,USA,FALSE,
168832,Georgios KARAGOUNIS,0,Midfielder,Fulham FC,England,37,Greece,FALSE,
319298,Georgios TZAVELAS,0,Defender,PAOK FC,Greece,26,Greece,TRUE,
358869,Georgy SHCHENNIKOV,0,Defender,CSKA Moscow,Russia,23,Russia,TRUE,
216973,Gerard PIQUE,0,Defender,FC Barcelona,Spain,27,Spain,TRUE,
329737,Ghasem HADADIFAR,0,Midfielder,Zob Ahan Isfahan FC,Iran,30,Iran,TRUE,
268821,Giancarlo GONZALEZ,0,Defender,Columbus Crew,USA,26,Costa Rica,FALSE,
159304,Gianluigi BUFFON,0,Goalkeeper,Juventus FC,Italy,36,Italy,TRUE,
215274,Giorgio CHIELLINI,0,Defender,Juventus FC,Italy,29,Italy,TRUE,
332293,Giovanni SIO,0,Forward,FC Basel,Switzerland,25,Ivory Coast,FALSE,
197464,Glen JOHNSON,0,Defender,Liverpool FC,England,29,England,TRUE,
356459,Godfrey OBOABONA,0,Defender,Caykur Rizespor,Turkey,23,Nigeria,FALSE,
261029,Gokhan INLER,0,Midfielder,SSC Napoli,Italy,29,Switzerland,FALSE,
229439,Gonzalo JARA,0,Defender,Nottingham Forest FC,England,28,Chile,FALSE,
357990,Gordon SCHILDENFELD,0,Defender,Panathinaikos FC,Greece,29,Croatia,FALSE,
321736,Gotoku SAKAI,0,Defender,VfB Stuttgart,Germany,23,Japan,FALSE,
360728,Graham ZUSI,0,Midfielder,Sporting Kansas City,USA,27,USA,TRUE,
215285,Guillermo OCHOA,0,Goalkeeper,AC Ajaccio,France,28,Mexico,FALSE,
298676,HA Daesung,0,Midfielder,Beijing Guoan,China,29,South Korea,FALSE,
274329,HAN Kookyoung,0,Midfielder,Kashiwa Reysol,Japan,24,South Korea,FALSE,
233167,Haris MEDUNJANIN,0,Midfielder,Gaziantepspor,Turkey,29,Bosnia & Herzegovina,FALSE,
294626,Harrison AFFUL,0,Defender,Esperance Sportive de Tunis,Tunisia,27,Ghana,FALSE,
295157,Hashem BEIKZADEH,0,Midfielder,Esteghlal Tehran FC,Iran,30,Iran,TRUE,
183882,Hassan YEBDA,0,Midfielder,Udinese Calcio,Italy,30,Algeria,FALSE,
329092,Hector HERRERA,0,Midfielder,FC Porto,Portugal,24,Mexico,FALSE,
238112,Hector MORENO,0,Defender,RCD Espanyol,Spain,26,Mexico,FALSE,
313805,Heiner MORA,0,Defender,Deportivo Saprissa,Costa Rica,29,Costa Rica,TRUE,
187203,HELDER POSTIGA,0,Forward,SS Lazio,Italy,31,Portugal,FALSE,
317072,Henri BEDIMO,0,Defender,Olympique Lyonnais,France,30,Cameroon,FALSE,
298613,HENRIQUE,0,Defender,SSC Napoli,Italy,27,Brazil,FALSE,
239424,HERNANES,0,Midfielder,FC Internazionale,Italy,29,Brazil,FALSE,
350003,Hiroki SAKAI,0,Defender,Hannover 96,Germany,24,Japan,FALSE,
347716,Hiroshi KIYOTAKE,0,Forward,1. FC Nuernberg,Germany,24,Japan,FALSE,
312679,HONG Jeongho,0,Defender,FC Augsburg,Germany,24,South Korea,FALSE,
329745,Hossein MAHINI,0,Defender,Perspolis FC,Iran,27,Iran,TRUE,
356466,Hotaru YAMAGUCHI,0,Midfielder,Cerezo Osaka,Japan,23,Japan,TRUE,
214410,HUGO ALMEIDA,0,Forward,Besiktas JK,Turkey,30,Portugal,FALSE,
356612,Hugo CAMPAGNARO,0,Defender,FC Internazionale,Italy,33,Argentina,FALSE,
297105,Hugo LLORIS,0,Goalkeeper,Tottenham Hotspur FC,England,27,France,FALSE,
318172,HULK,0,Forward,FC Zenit St. Petersburg,Russia,27,Brazil,FALSE,
356518,HWANG Seokho,0,Defender,Sanfrecce Hiroshima,Japan,24,South Korea,FALSE,
228936,Ignazio ABATE,0,Defender,AC Milan,Italy,27,Italy,TRUE,
215017,Igor AKINFEEV,0,Goalkeeper,CSKA Moscow,Russia,28,Russia,TRUE,
216438,Igor DENISOV,0,Midfielder,FC Dynamo Moscow,Russia,30,Russia,TRUE,
176644,Iker CASILLAS,0,Goalkeeper,Real Madrid CF,Spain,33,Spain,TRUE,
358024,Ioannis FETFATZIDIS,0,Forward,Genoa CFC,Italy,23,Greece,FALSE,
321731,Ioannis MANIATIS,0,Midfielder,Olympiacos Piraeus FC,Greece,27,Greece,TRUE,
371042,Isaac BRIZUELA,0,Midfielder,Deportivo Toluca FC,Mexico,23,Mexico,TRUE,
376360,Ismael DIOMANDE,0,Midfielder,AS Saint-Etienne,France,21,Ivory Coast,FALSE,
291329,Ismael TIOTE,0,Midfielder,Newcastle United FC,England,27,Ivory Coast,FALSE,
370062,Ivan FRANJIC,0,Defender,Brisbane Roar FC,Australia,26,Australia,TRUE,
369050,Ivan MOCINIC,0,Midfielder,HNK Rijeka,Croatia,21,Croatia,TRUE,
296633,Ivan RAKITIC,0,Midfielder,Sevilla FC,Spain,26,Croatia,FALSE,
356403,Izet HAJROVIC,0,Midfielder,Galatasaray SK,Turkey,22,Bosnia & Herzegovina,FALSE,
330565,Jack WILSHERE,0,Midfielder,Arsenal FC,England,22,England,TRUE,
349572,Jaimen AYOVI,0,Forward,Club Tijuana,Mexico,26,Ecuador,FALSE,
278072,Jalal HOSSEINI,0,Defender,Perspolis FC,Iran,32,Iran,TRUE,
295149,James HOLLAND,0,Midfielder,FK Austria Wien,Austria,25,Australia,FALSE,
207924,James MILNER,0,Midfielder,Manchester City FC,England,28,England,TRUE,
290605,James TROISI,0,Midfielder,Melbourne Victory FC,Australia,25,Australia,TRUE,
367415,Jasmin FEJZIC,0,Goalkeeper,VfR Aalen,Germany,28,Bosnia & Herzegovina,FALSE,
306364,Jason DAVIDSON,0,Defender,SC Heracles Almelo,Netherlands,22,Australia,FALSE,
358738,Jasper CILLESSEN,0,Goalkeeper,AFC Ajax,Netherlands,25,Netherlands,TRUE,
185641,Javad NEKOUNAM,0,Midfielder,Kuwait SC,Kuwait,33,Iran,FALSE,
270714,Javi MARTINEZ,0,Midfielder,FC Bayern Muenchen,Germany,25,Spain,FALSE,
350124,Javier AQUINO,0,Midfielder,Villarreal CF,Spain,24,Mexico,FALSE,
182372,Javier MASCHERANO,0,Midfielder,FC Barcelona,Spain,30,Argentina,FALSE,
367557,Jean Daniel AKPA,0,Defender,Toulouse FC,France,21,Ivory Coast,FALSE,
199600,Jean MAKOUN,0,Midfielder,Stade Rennais FC,France,31,Cameroon,FALSE,
184320,JEFFERSON,0,Goalkeeper,Botafogo FR,Brazil,31,Brazil,TRUE,
290452,Jefferson MONTERO,0,Midfielder,CA Monarcas Morelia,Mexico,24,Ecuador,FALSE,
298681,Jeremain LENS,0,Forward,FC Dynamo Kyiv,Ukraine,26,Netherlands,FALSE,
299442,Jerome BOATENG,0,Defender,FC Bayern Muenchen,Germany,25,Germany,TRUE,
323623,Jerry BENGTSON,0,Forward,New England Revolution,USA,27,Honduras,FALSE,
213953,Jerry PALACIOS,0,Midfielder,LD Alajuelense,Costa Rica,32,Honduras,FALSE,
330689,JI Dongwon,0,Midfielder,FC Augsburg,Germany,23,South Korea,FALSE,
217172,JO,0,Forward,Atletico Mineiro,Brazil,27,Brazil,TRUE,
200199,JOAO MOUTINHO,0,Midfielder,AS Monaco,France,27,Portugal,FALSE,
214407,JOAO PEREIRA,0,Defender,Valencia CF,Spain,30,Portugal,FALSE,
305972,Joao ROJAS,0,Forward,Cruz Azul FC,Mexico,25,Ecuador,FALSE,
299956,Joe HART,0,Goalkeeper,Manchester City FC,England,27,England,TRUE,
313051,Joel VELTMAN,0,Defender,AFC Ajax,Netherlands,22,Netherlands,TRUE,
216645,Johan DJOUROU,0,Defender,Hamburger SV,Germany,27,Switzerland,FALSE,
298582,John BOYE,0,Defender,Stade Rennais FC,France,27,Ghana,FALSE,
234463,John Obi MIKEL,0,Midfielder,Chelsea FC,England,27,Nigeria,FALSE,
